Sample temperature Tp;Hall voltage UH;Sample voltage Up;Sample current Ip
Tp/°C;UH/mV;Up/V;Ip/mA
;;;
26;0,1;3,53;4
26;0,1;3,55;4
26;0,1;3,56;4
26,1;0,3;3,57;4
26,1;0,3;3,58;4
26,1;0,2;3,56;4
26,1;0,3;3,53;4
26,1;0;3,55;4
26,1;0,1;3,53;4
26,1;0,2;3,56;4
26,2;-0,1;3,55;4
26,2;0,1;3,56;4
26,2;0,1;3,54;4
26,2;0,2;3,51;4
26,3;0,3;3,51;4
26,3;0,1;3,52;4
26,3;0,4;3,51;4
26,4;0,1;3,53;4
26,4;0,2;3,52;4
26,4;0,1;3,47;4
26,4;0,3;3,51;4
26,5;0,1;3,52;4
26,5;0,2;3,51;4
26,6;0,1;3,47;4
26,6;0,3;3,49;4
26,6;0,1;3,47;4
26,7;0,3;3,43;4
26,7;0,2;3,52;4
26,7;0,2;3,47;4
26,7;0,2;3,44;4
26,7;0,4;3,48;4
26,7;0,3;3,46;4
26,7;0,2;3,48;4
26,7;0,3;3,43;4
26,7;0,2;3,5;4
26,7;0,2;3,46;4
26,8;0,3;3,46;4
26,8;0,3;3,45;4
26,8;0;3,45;4
26,9;0,2;3,42;4
26,9;0,1;3,4;4
26,9;0;3,45;4
27;0,3;3,43;4
27;0,2;3,43;4
27;0,1;3,41;4
27,1;0,3;3,42;4
27,1;0,3;3,42;4
27,2;0,3;3,41;4
27,2;0,3;3,4;4
27,2;0,1;3,38;4
27,2;0,2;3,39;4
27,2;0,1;3,34;4
27,3;0,1;3,38;4
27,3;0,3;3,38;4
27,3;0,2;3,39;4
27,3;0;3,33;4
27,3;0,1;3,36;4
27,3;0,2;3,36;4
27,4;0,1;3,39;4
27,4;0,3;3,36;4
27,4;0;3,36;4
27,4;0,2;3,31;4
27,5;0;3,36;4
27,6;0,2;3,35;4
27,6;0,1;3,34;4
27,6;0,2;3,31;4
27,6;-0,1;2,17;4
27,6;0,1;3,31;4
27,6;0,1;3,34;4
27,7;0,2;3,32;4
27,8;0;3,29;4
27,8;0,2;3,3;4
27,9;0;3,3;4
27,9;0,3;3,3;4
27,9;0,1;3,29;4
28;0,2;2,18;4
28,1;0,2;3,26;4
28,1;0,2;3,29;4
28,1;0;3,26;4
28,2;0,2;3,23;4
28,2;0;3,26;4
28,2;0,1;3,24;4
28,2;0,1;3,25;4
28,2;0,3;3,22;4
28,2;0,2;3,24;4
28,3;0,2;3,18;4
28,4;0,2;3,21;4
